x	y	z
10	68	0.9998503110519782
10	70	0.9998893294713287
10	72	0.9999231095119108
10	74	0.9999550354440865
10	76	0.9999775503871318
10	78	0.999989025591092
10	80	0.99999386753204
10	82	0.9999956361311559
10	84	0.9999958116305462
10	86	0.9999945897007931
10	88	0.9999908888528584
10	90	0.9999807610814104
10	92	0.9999510553731997
10	94	0.9998561003166855
10	96	0.9995313421405677
10	98	0.9983742691491133
10	100	0.9941976000102538
12	0	0.0031590229677838757
12	2	0.0075140811268671025
12	4	0.017766058498842295
12	6	0.04142174109029549
12	8	0.09357736911649056
12	10	0.20176899391877243
12	12	0.410611696273842
12	14	0.654248847580552
12	16	0.8350863251226154
12	18	0.9374964690243303
12	20	0.9767506749771426
12	22	0.9912835208786444
12	24	0.9963844635364537
12	26	0.9982081551577567
12	28	0.9989811328362379
12	30	0.9993175368540552
12	32	0.999462908078492
12	34	0.9995238867419938
12	36	0.9995126937012929
12	38	0.9993980320066413
12	40	0.9991202089471818
12	42	0.9986047188161433
12	44	0.9978486786042813
12	46	0.9970816212631959
12	48	0.9967604431955258
12	50	0.9970324188031188
12	52	0.9975055427027891
12	54	0.9978084836624233
12	56	0.9978911009215314
12	58	0.9979933173927519
12	60	0.9984291649257343
12	62	0.9990711472210851
12	64	0.9995265489792263
12	66	0.9997264860140281
12	68	0.9997933014552786
12	70	0.999807899068757
12	72	0.9998257029402302
12	74	0.9998781151669116
12	76	0.9999370817481534
12	78	0.9999713190371631
12	80	0.9999854716537937
12	82	0.9999904073020127
12	84	0.9999911335658598
12	86	0.999988834789878
12	88	0.9999819637715343
12	90	0.9999643785668728
12	92	0.9999170088285826
12	94	0.9997796644378559
12	96	0.999358398578154
12	98	0.9980240607556339
12	100	0.9937604991402798
14	0	0.0021015686384085134
14	2	0.0049941082003242656
14	4	0.011820697523895347
14	6	0.02771879196907264
14	8	0.06362315600657154
14	10	0.14080365587141544
14	12	0.29582897684559345
14	14	0.5218735753630552
14	16	0.7442232210883651
14	18	0.894022849817309
14	20	0.9608824129874697
14	22	0.9856788164304762
14	24	0.9940889329890297
14	26	0.9971083352850614
14	28	0.9983737424243614
14	30	0.9989220592780843
14	32	0.9991655072479965
14	34	0.9992803771293787
14	36	0.9992982495388848
14	38	0.99918097076356
14	40	0.9988537980977932
14	42	0.9982717520627828
14	44	0.9976113433521527
14	46	0.997275512262933
14	48	0.9974146996880281
14	50	0.9977802267025707
14	52	0.998063997935349
14	54	0.9980887082667396
14	56	0.9978398526993971
14	58	0.9975816739849807
14	60	0.997898371360995
14	62	0.9987567848731316
14	64	0.999413665759077
14	66	0.9996764341155948
14	68	0.9997325799878825
14	70	0.9996827347942988
14	72	0.9996124074456032
14	74	0.99966795255123
14	76	0.9998213464931142
14	78	0.9999243560275893
14	80	0.9999655191975481
14	82	0.9999789545360039
14	84	0.9999812094864825
14	86	0.9999767674095612
14	88	0.9999638047894585
14	90	0.9999331623489198
14	92	0.9998581650682025
14	94	0.9996616265474304
14	96	0.9991181293250455
14	98	0.9975686112982779
14	100	0.9931231860918414
16	0	0.001125800726039815
16	2	0.0028265896303963233
16	4	0.007078614793849395
16	6	0.017613957389741426
16	8	0.04314682479668829
16	10	0.0999911505062208
16	12	0.20077221848906138
16	14	0.3811368241069791
16	16	0.6273966259782754
16	18	0.8237416052008907
16	20	0.9348890623670392
16	22	0.9765299326824026
16	24	0.990427740022878
16	26	0.9953743398054345
16	28	0.9973487735047346
16	30	0.9982865873058817
16	32	0.9987388269077495
16	34	0.998927526012549
16	36	0.99897244247689
16	38	0.9988569628896885
16	40	0.9984564478896223
16	42	0.9977215290042067
16	44	0.9970970447786665
16	46	0.9972317401120927
16	48	0.9977881270833867
16	50	0.9982005596960298
16	52	0.9983321200863542
16	54	0.9981442737776306
